Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
HIP55787	11:25:48.5315	-43:09:52.527	N/A	4755.4	12.043	10.886	10.598	1227.30	GLS Plot	HIP55787_harps_all-data_v1.dat	HIP55787_harps_all-data_v1.csv
HIP55789	11:25:49.9064	-43:12:15.701	K0III	N/A	11.300	10.020	9.636	868.43	GLS Plot	HIP55789_harps_all-data_v1.dat	HIP55789_harps_all-data_v1.csv
HIP55955	11:28:00.4799	-09:10:56.546	M2	N/A	13.800	14.485	11.566	27.08	GLS Plot	HIP55955_harps_all-data_v1.dat	HIP55955_harps_all-data_v1.csv
HIP56489	11:34:50.4214	-13:14:31.282	K7V	N/A	11.550	10.344	9.858	30.27	GLS Plot	HIP56489_harps_all-data_v1.dat	HIP56489_harps_all-data_v1.csv
HIP57459	11:46:42.9130	-14:00:51.781	M3V	N/A	13.190	11.700	10.607	19.38	GLS Plot	HIP57459_harps_all-data_v1.dat	HIP57459_harps_all-data_v1.csv
HIP58285	11:57:13.5268	-79:21:31.521	K0e	4290.2	10.000	11.860	12.974	109.62	GLS Plot	HIP58285_harps_all-data_v1.dat	HIP58285_harps_all-data_v1.csv
HIP58289	11:57:15.6501	-06:58:36.797	K8	4855.5	10.540	9.590	9.212	38.84	GLS Plot	HIP58289_harps_all-data_v1.dat	HIP58289_harps_all-data_v1.csv
HIP58348	11:57:57.7786	-51:30:02.129	G5	4853.5	11.320	10.340	9.997	56.88	GLS Plot	HIP58348_harps_all-data_v1.dat	HIP58348_harps_all-data_v1.csv
HIP59109	12:07:15.0719	-05:44:01.609	A7	N/A	10.400	9.990	9.855	177.68	GLS Plot	HIP59109_harps_all-data_v1.dat	HIP59109_harps_all-data_v1.csv
HIP59341	12:10:22.1539	-43:52:15.387	G5V	5737.1	9.660	8.940	8.787	123.98	GLS Plot	HIP59341_harps_all-data_v1.dat	HIP59341_harps_all-data_v1.csv
HIP59925	12:17:32.0511	-24:01:06.943	K4V	N/A	11.260	10.110	9.695	35.19	GLS Plot	HIP59925_harps_all-data_v1.dat	HIP59925_harps_all-data_v1.csv
HIP60051	12:18:56.4685	-45:52:53.585	G5V	5584.7	9.785	9.130	8.949	53.51	GLS Plot	HIP60051_harps_all-data_v1.dat	HIP60051_harps_all-data_v1.csv
HIP60718	12:26:35.8952	-63:05:56.734	B0.5IV+B1V	N/A	nan	nan	nan	nan	GLS Plot	HIP60718_harps_all-data_v1.dat	HIP60718_harps_all-data_v1.csv
HIP60910	12:28:57.6037	+08:25:31.099	M4V	N/A	13.618	12.047	10.757	14.57	GLS Plot	HIP60910_harps_all-data_v1.dat	HIP60910_harps_all-data_v1.csv
HIP61406	12:34:53.8651	-47:17:19.425	K4-V	N/A	10.920	9.860	9.525	42.78	GLS Plot	HIP61406_harps_all-data_v1.dat	HIP61406_harps_all-data_v1.csv
HIP61505	12:36:06.5845	-42:51:08.281	G5V	5720.0	8.557	7.884	7.710	48.09	GLS Plot	HIP61505_harps_all-data_v1.dat	HIP61505_harps_all-data_v1.csv
HIP61872	12:40:45.7484	-33:22:17.133	K6.5Vk:	4143.1	11.712	10.418	9.835	30.04	GLS Plot	HIP61872_harps_all-data_v1.dat	HIP61872_harps_all-data_v1.csv
HIP62452	12:47:56.6249	+09:45:05.031	M3.5Ve	N/A	12.958	11.395	10.094	8.08	GLS Plot	HIP62452_harps_all-data_v1.dat	HIP62452_harps_all-data_v1.csv
