stars,spectral_types,specfiles,hits_start,hits_end,waves1,waves2,distances,HorK
HIP92451,M3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:52.360.fits,15201,15231,3933.74,3934.04,16.74,T
HIP92451,M3V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:52.360.fits,18684,18711,3968.57,3968.84,16.74,T
HIP99385,K6Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2023-08-04T01:04:29.689.fits,15143,15147,3933.89,3933.93,15.8,T
HIP99385,K6Vk,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2023-08-04T01:04:29.689.fits,18620,18625,3968.66,3968.71,15.8,T
TYC9114-1267-1,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-06-04T01:04:37.300.fits,15149,15185,3933.5,3933.86,31.53,T
TYC9114-1267-1,K7V,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-06-04T01:04:37.300.fits,18633,18661,3968.34,3968.62,31.53,T
GJ4347,M0,/Users/blfields/Downloads/ADP.2014-09-18T12_16_50.147.fits,15210,15240,3933.52,3933.82,25.04,T
GJ4347,M0,/Users/blfields/Downloads/ADP.2014-09-18T12_16_50.147.fits,18690,18720,3968.32,3968.62,25.04,T
GJ521.1,K5,/Users/blfields/Downloads/ADP.2014-09-16T11_07_13.183.fits,15229,15238,3933.91,3934.0,15.08,T
GJ521.1,K5,/Users/blfields/Downloads/ADP.2014-09-16T11_07_13.183.fits,15239,15243,3934.01,3934.05,15.08,T
GJ521.1,K5,/Users/blfields/Downloads/ADP.2014-09-16T11_07_13.183.fits,15247,15254,3934.09,3934.16,15.08,T
