Star,Type,Hit start ix,Spec file,CCD file,Hit start wavel,Verdict,Source
HD110411,A0Va_lB,192765,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:07:12.423.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2006-02-10T07:02:59.081.fits,5709.51,ET,Core
HD147644,F8V,215569,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-04-19T23:55:29.777.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2015-04-19T06:48:21.114.fits,5937.51,ET,Core
HD184711,G5wA/F,278477,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-18T12:12:35.450.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2008-09-20T00:41:44.834.fits,6566.015,ET,Core
HD197623,G3V,256945,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-02T10:02:06.950.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2005-05-18T09:10:45.139.fits,6351.4,ET,Core
HD223171,G2V,298782,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2015-12-17T01:02:36.737.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2015-12-16T01:26:43.087.fits,6769.42,ET,Core
HD34642,G3V,198765,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2018-02-02T01:02:24.134.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2018-02-01T01:42:30.839.fits,5769.34,ET,Core
HD59088,O6f,58379,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-16T11:06:39.407.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2006-03-26T00:02:33.378.fits,4365.01,ET,Core
HIP87607,M0V,85100,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:17.823.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-10-22T23:39:09.238.fits,4632.22,ET,Repeaters
HIP87607,M0V,85100,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:17.823.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-10-22T23:39:09.238.fits,4632.245,ET,Core
HIP87607,M0V,189348,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:03:50.863.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2013-07-24T02:37:41.553.fits,5674.9,ET,Repeaters
WASP-19,G8V,46309,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2020-02-15T01:09:45.898.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2020-02-14T03:38:48.531.fits,4245.04,ET,Repeaters
WASP-19,G8V,216703,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:42:25.440.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2010-03-19T04:02:37.912.fits,5948.605,ET,Repeaters
WASP-19,G8V,220635,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2017-05-10T01:02:52.405.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2017-05-09T00:23:21.566.fits,5988.07,ET,Repeaters
WASP-19,G8V,227291,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2020-02-16T01:08:26.055.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2020-02-15T04:09:40.886.fits,6054.87,ET,Core
WASP-19,G8V,307789,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-24T09:44:03.147.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2010-03-19T05:41:10.913.fits,6859.45,ET,Repeaters
WASP-89,K3,114457,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:52:19.797.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-10-03T03:54:35.331.fits,4925.855,ET,Repeaters
WASP-89,K3,141682,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-09-26T16:51:01.293.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2012-10-03T05:01:01.142.fits,5198.055,ET,Core
WASP-89,K3,215713,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:04:23.160.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2013-06-15T05:34:26.988.fits,5939.03,ET,Repeaters
WASP-89,K3,251521,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:06:06.940.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2013-06-15T07:38:42.423.fits,6297.1,ET,Repeaters
WASP-89,K3,277006,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:06:25.600.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2013-06-15T08:09:45.993.fits,6551.94,ET,Repeaters
WASP-89,K3,277909,/Users/blfields/.astropy/cache/astroquery/Eso/ADP.2014-10-06T10:05:36.773.fits,/Users/blfields/.astropy/cache/astroquery/Eso/HARPS.2013-06-15T05:49:59.413.fits,6560.97,ET,Repeaters
